SERVICE,TIME,REQ,CLEAR,START,END,A/D,FREQ,AC,SEAT,TERM,WKY,TY,REC,O/D,L/N,TROUND,T/R,LAST
NUMBER,,TIME,CODE,DATE,DATE,,,,,,,OP,TYP,,,SERV NO,DAYS,EDIT
FR 1   D,1810,1810,OK ,23-May-18,23-May-18,A,..3....,L45,0,ENG,1,D,SO,STN,STN,        ,0,22-May-18
FR 1   D,1840,1840,OK ,23-May-18,23-May-18,D,..3....,L45,0,ENG,1,D,SO,STN,STN,        ,0,22-May-18
BID2   A,5,5,OK ,09-May-18,09-May-18,D,..3....,SWM,0,FRT,1,H,SO,BFS,BFS,BID2   P,1,08-May-18
BID2   A,5,5,OK ,30-May-18,30-May-18,D,..3....,SWM,0,FRT,1,H,SO,BFS,BFS,BID2   P,1,29-May-18
BID2   P,2300,2300,OK ,08-May-18,08-May-18,A,.2.....,SWM,0,FRT,1,P,SO,MAN,MAN,BID2   A,1,08-May-18
BID2   P,2230,2230,OK ,29-May-18,29-May-18,A,.2.....,SWM,0,FRT,1,P,SO,CGN,CGN,BID2   A,1,29-May-18
NPT4   N,120,120,OK ,27-Mar-18,27-Mar-18,A,.2.....,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,26-Mar-18
NPT4   N,120,120,OK ,30-May-18,24-Oct-18,A,..3....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,04-May-18
NPT4   N,120,120,OK ,31-May-18,25-Oct-18,A,...4...,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,04-May-18
NPT4   N,120,120,OK ,29-Mar-18,24-May-18,A,...4...,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,04-May-18
NPT4   N,120,120,OK ,28-Mar-18,23-May-18,A,..3....,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,04-May-18
NPT4   N,120,120,OK ,30-Mar-18,13-Apr-18,A,....5..,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   N,120,120,OK ,31-Mar-18,28-Apr-18,A,.....6.,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,04-May-18
NPT4   N,120,120,OK ,10-Apr-18,01-May-18,A,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,12-Jan-18
NPT4   N,120,120,OK ,20-Apr-18,20-Apr-18,A,....5..,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   N,120,120,OK ,01-Jun-18,26-Oct-18,A,....5..,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,18-Apr-18
NPT4   N,120,120,OK ,27-Apr-18,25-May-18,A,....5..,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   N,120,120,OK ,05-May-18,05-May-18,A,.....6.,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,04-May-18
NPT4   N,120,120,OK ,12-May-18,12-May-18,A,.....6.,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,11-May-18
NPT4   N,120,120,OK ,15-May-18,22-May-18,A,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,12-Jan-18
NPT4   N,120,120,OK ,19-May-18,19-May-18,A,.....6.,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,21-May-18
NPT4   N,120,120,OK ,25-Aug-18,25-Aug-18,A,.....6.,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,3,21-May-18
NPT4   N,120,120,OK ,02-Jun-18,18-Aug-18,A,.....6.,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,2,21-May-18
NPT4   N,120,120,OK ,26-May-18,26-May-18,A,.....6.,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,21-May-18
NPT4   N,120,120,OK ,01-Sep-18,20-Oct-18,A,.....6.,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,2,21-May-18
NPT4   N,120,120,OK ,27-Oct-18,27-Oct-18,A,.....6.,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,21-May-18
NPT4   N,120,120,OK ,04-Sep-18,23-Oct-18,A,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12-Jan-18
NPT4   N,120,120,OK ,05-Jun-18,21-Aug-18,A,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12-Jan-18
NPT4   N,120,120,OK ,28-Aug-18,28-Aug-18,A,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT9   G,0,12-Jan-18
SWN4   N,135,135,OK ,18-May-18,18-May-18,A,....5..,APF,0,FRT,1,P,SO,EMA,EMA,        ,0,18-May-18
NPT4   P,2130,2130,OK ,26-Mar-18,26-Mar-18,A,1......,73Y,0,FRT,1,P,SO,EMA,EMA,        ,0,26-Mar-18
NPT4   P,1930,1930,OK ,09-Apr-18,09-Apr-18,A,1......,73P,0,FRT,1,P,SO,EMA,EMA,        ,0,04-Apr-18
NPT4   P,2130,2130,OK ,19-Apr-18,19-Apr-18,A,...4...,73Y,0,FRT,1,P,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   P,1930,1930,OK ,23-Apr-18,23-Apr-18,A,1......,73P,0,FRT,1,P,SO,EMA,EMA,        ,0,06-Apr-18
NPT4   P,2130,2130,OK ,02-May-18,02-May-18,A,..3....,73P,0,FRT,1,P,SO,EMA,EMA,        ,0,02-May-18
NPT4   P,2130,2130,OK ,03-May-18,03-May-18,A,...4...,73P,0,FRT,1,P,SO,EMA,EMA,        ,0,03-May-18
NPT4   P,2130,2130,OK ,04-May-18,04-May-18,A,....5..,73P,0,FRT,1,P,SO,EMA,EMA,        ,0,04-May-18
NPT4   P,2130,2130,OK ,11-May-18,11-May-18,A,....5..,73Y,0,FRT,1,P,SO,EMA,EMA,        ,0,11-May-18
NPT4   P,1930,1930,OK ,14-May-18,14-May-18,A,1......,73P,0,FRT,1,P,SO,EMA,EMA,        ,0,09-May-18
NPT4   P,2130,2130,OK ,18-May-18,18-May-18,A,....5..,73Y,0,FRT,1,P,SO,EMA,EMA,        ,0,21-May-18
NPT4   P,1945,1945,OK ,19-May-18,19-May-18,A,.....6.,73P,0,FRT,1,P,SO,BFS,BFS,        ,0,21-May-18
SWN4   P,235,235,OK ,18-May-18,18-May-18,D,....5..,APF,0,FRT,1,P,SO,EMA,EMA,        ,0,18-May-18
NPT4   S,2230,2230,OK ,26-Mar-18,26-Mar-18,D,1......,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,26-Mar-18
NPT4   S,2230,2230,OK ,30-May-18,24-Oct-18,D,..3....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,11-May-18
NPT4   S,2230,2230,OK ,28-Aug-18,28-Aug-18,D,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,3,11-May-18
NPT4   S,2230,2230,OK ,05-Jun-18,21-Aug-18,D,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,11-May-18
NPT4   S,2230,2230,OK ,29-May-18,29-May-18,D,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT12  B,3,11-May-18
NPT4   S,2230,2230,OK ,27-Mar-18,22-May-18,D,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,11-May-18
NPT4   S,2230,2230,OK ,04-Sep-18,23-Oct-18,D,.2.....,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,11-May-18
NPT4   S,2230,2230,OK ,28-Mar-18,23-May-18,D,..3....,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,11-May-18
NPT4   S,2230,2230,OK ,29-Mar-18,12-Apr-18,D,...4...,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   S,2230,2230,OK ,30-Mar-18,04-May-18,D,....5..,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,11-May-18
NPT4   S,2230,2230,OK ,09-Apr-18,30-Apr-18,D,1......,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,12-Jan-18
NPT4   S,2230,2230,OK ,19-Apr-18,19-Apr-18,D,...4...,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   S,2230,2230,OK ,31-May-18,25-Oct-18,D,...4...,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,18-Apr-18
NPT4   S,2230,2230,OK ,26-Apr-18,24-May-18,D,...4...,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,18-Apr-18
NPT4   S,2230,2230,OK ,11-May-18,11-May-18,D,....5..,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,11-May-18
NPT4   S,2230,2230,OK ,14-May-18,21-May-18,D,1......,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,12-Jan-18
NPT4   S,2230,2230,OK ,18-May-18,18-May-18,D,....5..,73Y,0,FRT,1,M,SO,EMA,EMA,        ,0,21-May-18
NPT4   S,2230,2230,OK ,01-Jun-18,26-Oct-18,D,....5..,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,21-May-18
NPT4   S,2230,2230,OK ,25-May-18,25-May-18,D,....5..,73P,0,FRT,1,M,SO,EMA,EMA,        ,0,21-May-18
NPT4   S,2230,2230,OK ,04-Jun-18,20-Aug-18,D,1......,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,2,12-Jan-18
NPT4   S,2230,2230,OK ,03-Sep-18,22-Oct-18,D,1......,73P,0,FRT,1,M,SO,EMA,EMA,NPT4   N,2,12-Jan-18
NPT4   S,2230,2230,OK ,27-Aug-18,27-Aug-18,D,1......,73P,0,FRT,1,M,SO,EMA,EMA,NPT9   H,2,12-Jan-18
FR 5   P,1150,1150,OK ,27-May-18,27-May-18,A,......7,738,0,1D ,1,P,SO,PIK,PIK,        ,0,29-May-18
BID6   A,2355,2355,OK ,03-Apr-18,03-Apr-18,D,.2.....,SWM,0,FRT,1,H,SO,BFS,BFS,BID6   P,0,03-Apr-18
FR 6   P,1500,1500,OK ,27-May-18,27-May-18,D,......7,738,0,1D ,1,P,SO,PIK,PIK,        ,0,27-May-18
BID6   P,2230,2230,OK ,03-Apr-18,03-Apr-18,A,.2.....,SWM,0,FRT,1,P,SO,CGN,CGN,BID6   A,0,03-Apr-18
BE 8    ,955,955,OK ,10-Jul-18,10-Jul-18,A,.2.....,E75,88,1I ,1,C,SO,DUB,DUB,BE 82  P,0,04-Apr-18
NPT9   A,200,200,OK ,03-May-18,03-May-18,A,...4...,73Y,0,FRT,1,M,SO,STN,STN,        ,0,03-May-18
NPT9   G,2040,2040,OK ,26-Mar-18,26-Mar-18,D,1......,73P,0,FRT,1,M,SO,STN,STN,        ,0,20-Mar-18
NPT9   G,2040,2040,OK ,28-Aug-18,28-Aug-18,D,.2.....,73P,0,FRT,1,M,SO,STN,STN,NPT4   N,0,03-May-18
