numBuckets 288
numFlights 234
arrFlightNo depFlightNo
BA1458 BA2937
LM358 LM393
LM394 LM353A
BA1462 BA2931
LM775 LM397
LM768 LM355
BA2946 BA1445
NPT9H NPT9G
NPT12B NPT10J
NPT10K NPT12A
NPT4N NPT4S
3V25N 3V26H
BA8702 BA4507
BA2936 BA1459
BA8704 BA8713
LM392 LM335A
LM354 LM347
BA1442 BA1463
BA4502 BA8701
BE846 BE2101
EZY6978 EZY6961
EZY6964 EZY6993
BE688 BE843
LM398 LM355A
LM344 LM399A
BE211 BE2103
LS780 LS779
BA4504 BA8703
BE656 BE683
BA1454 BA2945
BE771 BE655
LS728 LS705
TOM1641 TOM1796
BE2108 BE764
EZY811 EZY6991
BA4506 BA8705
LS866 LS717
BE852 BE1335
FR818 FR6681
EZY489 EZY6981
BA1462 BA2931
FR2752 FR6642
KL1293 KL1276
LS858 LS857
BA1460 BA1435
AF1886 AF1887
FR6682 FR7616
EZY6908 EZY6955
BA2946 BA1461
EZY6986 EZY6939
LS724 LS847
FR1060 FR6266
FR6625 FR6695
FR6606 FR6656
EZY6990 EZY3386
FR6622 FR4524
EZY6938 EZY6905
FR6653 FR1064
EZY6930 EZY6975
EZY6946 EZY6941
EZY6966 EZY2684
LS706B LS727
EZS6917 EZS6918
AA278 AA279
EY27 EY28
FR812 FR813
UA36 UA39
EI3250 EI3251
AF1686 AF1687
EI3806 EI3675
KL1277 KL1278
EZY2683 EZY6921
EI3550 EI3551
D81605 D81640
DY4463 DY4464
SK4601 SK4602
BA1438 BA1443
FR5578 FR5579
WW860 WW861
BE2102 BE263
EZY6922 EZY6995
EI3252 EI3253
EW362 EW363
EZY6962 EZY234
LH962 LH963
FR7617 FR7834
EZY6906 EZY6977
SK2541 SK2542
EZY6976 EZY6907
EZY6942 EZY806
EI3672 EI3805
EZY6994 EZY6923
BE684 BE687
EZY6940 EZY808
BA4508 BA8719
KL1281 KL1282
TO3628 TO3629
FR1065 FR1109
FR6643 FR8421
BE2104 BE766
BA2936 BA1453
BA1442 BA2937
EZY6982 EZY238
EZY3385 EZY482
LM394 LM357
FR6682 FR817
QR29 QR30
EZY6992 EZY16
FR6267 FR1054
LS718 LS787
FR4525 FR2684
LS780 LS797
FR816 FR1078
BE4503 BE4504
BE846 BE1341
LM354A LM351
FR6657 FR6605
BE767 BE849
EI3254 EI3255
BA1446 BA1455
EZY481 EZY18
LS858 LS815
BE1336 BE294
KL1285 KL1286
TK1345 TK1346
LS848 LS775
EZY15 EZY426
EZY807 EZY486
BE688 BE2107
D83502 D83503
EZY233 EZY6959
LM305 LM306
D81641 D81600
