SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,LINK
LS706B,LS,A,73H,189.0,J,ACE,LS 727  ,2018-04-01 00:00:00,2018-04-01 00:35:00,D824
AA278,AA,A,75W,176.0,J,JFK,AA 279  ,2018-04-01 00:00:00,2018-04-01 06:10:00,D275
EZS6917,EZS,A,320,186.0,J,BSL,EZS6918 ,2018-04-01 00:00:00,2018-04-01 06:10:00,D2258
EY27,EY,A,332,262.0,J,AUH,EY 28   ,2018-04-01 00:00:00,2018-04-01 06:20:00,D103
FR812,FR,A,73H,189.0,J,DUB,FR 813  ,2018-04-01 00:00:00,2018-04-01 06:35:00,D887
UA36,UA,A,75W,169.0,J,EWR,UA 39   ,2018-04-01 00:00:00,2018-04-01 06:45:00,D129
EI3250,EI,A,AT7,72.0,J,DUB,EI 3251 ,2018-04-01 00:00:00,2018-04-01 06:55:00,D1830
AF1686,AF,A,318,131.0,J,CDG,AF 1687 ,2018-04-01 00:00:00,2018-04-01 07:00:00,D1542
EI3806,EI,A,AT7,70.0,J,ORK,EI 3675 ,2018-04-01 00:00:00,2018-04-01 07:20:00,D1949
KL1277,KL,A,73W,142.0,J,AMS,KL 1278 ,2018-04-01 00:00:00,2018-04-01 07:25:00,D1208
EI3550,EI,A,AT7,72.0,J,DUB,EI 3551 ,2018-04-01 00:00:00,2018-04-01 08:00:00,D1925
EZY2683,EZY,A,320,180.0,J,MXP,EZY2684 ,2018-04-01 00:00:00,2018-04-01 08:00:00,D1732
D81605,D8,A,7M8,189.0,J,PVD,D8 1640 ,2018-04-01 00:00:00,2018-04-01 08:05:00,D1533
DY4463,DY,A,73H,186.0,J,ARN,DY 4464 ,2018-04-01 00:00:00,2018-04-01 08:10:00,D1989
SK4601,SK,A,736,123.0,J,OSL,SK 4602 ,2018-04-01 00:00:00,2018-04-01 09:05:00,D2034
FR5578,FR,A,73H,189.0,J,ALC,FR 5579 ,2018-04-01 00:00:00,2018-04-01 09:15:00,D2044
BA1438,BA,A,763,259.0,J,LHR,BA 1443 ,2018-04-01 00:00:00,2018-04-01 09:15:00,D1383
WW860,WW,A,321,200.0,J,KEF,WW 861  ,2018-04-01 00:00:00,2018-04-01 09:20:00,D1076
BE2102,BE,A,DH4,78.0,J,LHR,BE 764  ,2018-04-01 00:00:00,2018-04-01 09:25:00,D1289
SK2513,SK,A,CR9,90.0,J,CPH,SK 2514 ,2018-04-01 00:00:00,2018-04-01 09:45:00,D1697
EI3252,EI,A,AT7,72.0,J,DUB,EI 3253 ,2018-04-01 00:00:00,2018-04-01 10:10:00,D1845
EZY6922,EZY,A,320,180.0,J,AMS,EZY6921 ,2018-04-01 00:00:00,2018-04-01 10:10:00,D2275
EZY6962,EZY,A,320,186.0,J,PRG,EZY6995 ,2018-04-01 00:00:00,2018-04-01 10:15:00,D2489
EW362,EW,A,32A,180.0,J,CGN,EW 363  ,2018-04-01 00:00:00,2018-04-01 10:15:00,D466
LH962,LH,A,321,195.0,J,FRA,LH 963  ,2018-04-01 00:00:00,2018-04-01 11:00:00,D1087
FR7617,FR,A,73H,189.0,J,SDR,FR 7834 ,2018-04-01 00:00:00,2018-04-01 11:05:00,D2527
EZY6906,EZY,A,320,186.0,J,GVA,EZY234  ,2018-04-01 00:00:00,2018-04-01 11:05:00,D193
EZY6942,EZY,A,320,186.0,J,KEF,EZY6977 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D2428
EI3672,EI,A,AT7,70.0,J,SNN,EI 3805 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D1962
EZY6976,EZY,A,320,186.0,J,BIO,EZY6907 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D2232
EZY6994,EZY,A,320,186.0,J,MAD,EZY6923 ,2018-04-01 00:00:00,2018-04-01 11:35:00,D860
