SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,ID,LINK
AF1887,AF,D,32A,174.0,J,CDG,AF 1886 ,2018-04-01 00:00:00,2018-04-01 04:55:00,D1571,0
EZY6961,EZY,D,320,186.0,J,PRG,EZY6994 ,2018-04-01 00:00:00,2018-04-01 05:00:00,D2406,0
KL1276,KL,D,73H,186.0,J,AMS,KL 1293 ,2018-04-01 00:00:00,2018-04-01 05:00:00,D1193,0
EZY6993,EZY,D,320,186.0,J,MAD,EZY6986 ,2018-04-01 00:00:00,2018-04-01 05:05:00,D2474,0
EZY6991,EZY,D,320,186.0,J,NAP,EZY6938 ,2018-04-01 00:00:00,2018-04-01 05:10:00,D2467,0
EZY6981,EZY,D,319,156.0,J,LIS,EZY489  ,2018-04-01 00:00:00,2018-04-01 05:20:00,D2443,0
BE2101,BE,D,DH4,78.0,J,LHR,BE 2104 ,2018-04-01 00:00:00,2018-04-01 05:20:00,D1625,0
FR6681,FR,D,73H,189.0,J,CIA,FR 1070 ,2018-04-01 00:00:00,2018-04-01 05:25:00,D2176,0
LS717,LS,D,73C,148.0,J,PMI,LS 866  ,2018-04-01 00:00:00,2018-04-01 05:30:00,D717,0
BA2931,BA,D,319,144.0,J,LGW,BA 1454 ,2018-04-01 00:00:00,2018-04-01 05:40:00,D1781,0
EZY6939,EZY,D,320,186.0,J,KRK,EZY6930 ,2018-04-01 00:00:00,2018-04-01 05:40:00,D2339,0
FR6642,FR,D,73H,189.0,J,BTS,FR 2752 ,2018-04-01 00:00:00,2018-04-01 05:40:00,D2135,0
FR7616,FR,D,73H,189.0,J,SDR,FR 6682 ,2018-04-01 00:00:00,2018-04-01 05:55:00,D2511,0
LS857,LS,D,73C,148.0,J,AGP,LS 858  ,2018-04-01 00:00:00,2018-04-01 05:55:00,D1071,0
BA1435,BA,D,763,259.0,J,LHR,BA 1438 ,2018-04-01 00:00:00,2018-04-01 05:55:00,D1345,0
