SERVICE_x,OPERATOR_x,A/D_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,FLIGHT_DATE_x,DATETIME_x,LINK_x,SERVICE_y,OPERATOR_y,A/D_y,AC_y,SEAT_y,TY_y,O/D_y,TROUND_y,FLIGHT_DATE_y,DATETIME_y,ID,LINK_y
LS706B,LS,A,73H,189.0,J,ACE,LS 727  ,2018-04-01 00:00:00,2018-04-01 00:35:00,D824,LS779,LS,D,73H,189.0,J,GVA,LS 780  ,2018-04-01 00:00:00,2018-04-01 06:45:00,D824,1.0
AA278,AA,A,75W,176.0,J,JFK,AA 279  ,2018-04-01 00:00:00,2018-04-01 06:10:00,D275,AA279,AA,D,75W,176.0,J,JFK,AA 278  ,2018-04-01 00:00:00,2018-04-01 09:10:00,D275,1.0
EZS6917,EZS,A,320,186.0,J,BSL,EZS6918 ,2018-04-01 00:00:00,2018-04-01 06:10:00,D2258,EZS6918,EZS,D,320,186.0,J,BSL,EZS6917 ,2018-04-01 00:00:00,2018-04-01 06:35:00,D2258,1.0
EY27,EY,A,332,262.0,J,AUH,EY 28   ,2018-04-01 00:00:00,2018-04-01 06:20:00,D103,EY28,EY,D,332,262.0,J,AUH,EY 27   ,2018-04-01 00:00:00,2018-04-01 08:05:00,D103,1.0
FR812,FR,A,73H,189.0,J,DUB,FR 813  ,2018-04-01 00:00:00,2018-04-01 06:35:00,D887,FR813,FR,D,73H,189.0,J,DUB,FR 812  ,2018-04-01 00:00:00,2018-04-01 07:00:00,D887,1.0
UA36,UA,A,75W,169.0,J,EWR,UA 39   ,2018-04-01 00:00:00,2018-04-01 06:45:00,D129,UA39,UA,D,75W,169.0,J,EWR,UA 36   ,2018-04-01 00:00:00,2018-04-01 08:15:00,D129,1.0
EI3250,EI,A,AT7,72.0,J,DUB,EI 3251 ,2018-04-01 00:00:00,2018-04-01 06:55:00,D1830,EI3251,EI,D,AT7,72.0,J,DUB,EI 3250 ,2018-04-01 00:00:00,2018-04-01 07:20:00,D1830,1.0
AF1686,AF,A,318,131.0,J,CDG,AF 1687 ,2018-04-01 00:00:00,2018-04-01 07:00:00,D1542,AF1687,AF,D,318,131.0,J,CDG,AF 1686 ,2018-04-01 00:00:00,2018-04-01 07:45:00,D1542,1.0
EI3806,EI,A,AT7,70.0,J,ORK,EI 3675 ,2018-04-01 00:00:00,2018-04-01 07:20:00,D1949,EI3675,EI,D,AT7,70.0,J,SNN,EI 3806 ,2018-04-01 00:00:00,2018-04-01 07:50:00,D1949,1.0
KL1277,KL,A,73W,142.0,J,AMS,KL 1278 ,2018-04-01 00:00:00,2018-04-01 07:25:00,D1208,KL1278,KL,D,73W,142.0,J,AMS,KL 1277 ,2018-04-01 00:00:00,2018-04-01 08:10:00,D1208,1.0
