	k	similarity_measure	top10_presence	mean_rank	median_rank
0	5	cosine	0.03214285714285714	150.70764832022874	140
1	5	asymmetric_cosine	0.01	165.49785714285716	160.0
2	5	jaccard	0.01	188.3557142857143	199.0
3	10	cosine	0.016428571428571428	152.33809864188706	143
4	10	asymmetric_cosine	0.010714285714285714	174.11760461760463	178.5
5	10	jaccard	0.014285714285714285	181.31801866475234	175
6	20	cosine	0.01	163.69153515064562	159.0
7	20	asymmetric_cosine	0.011428571428571429	183.72238372093022	202.0
8	20	jaccard	0.015	158.2278664731495	157.0
9	50	cosine	0.005	198.68081991215226	211.5
10	50	asymmetric_cosine	0.005	205.2045621780721	234
11	50	jaccard	0.041428571428571426	144.08667621776505	132.0
12	100	cosine	0.005	208.39925925925925	235.0
13	100	asymmetric_cosine	0.005714285714285714	213.16395864106352	244.0
14	100	jaccard	0.0064285714285714285	149.01218637992832	134
