	k	similarity_measure	top10_presence	mean_rank	median_rank
0	5	cosine	0.337439742903053	68.3093197643278	25.0
1	10	cosine	0.3805570433851098	54.13256561328334	18.0
2	20	cosine	0.40894483128012854	41.65532940546331	15.0
3	50	cosine	0.4327798607391537	33.29030530262453	13.0
4	100	cosine	0.4274236743438672	32.00562399571505	13.0
5	5	asymmetric_cosine	0.3401178361006963	77.69148366363149	40.0
6	10	asymmetric_cosine	0.38618103910016066	59.019550080342796	18.0
7	20	asymmetric_cosine	0.4217996786288163	44.261649705409745	14.0
8	50	asymmetric_cosine	0.4418853776111409	33.51017675415105	13.0
9	100	asymmetric_cosine	0.44161756829137655	31.544991965720406	12.0
10	5	jaccard	0.3478843063738618	68.14059989287627	24.0
11	10	jaccard	0.38296732726298877	53.73727905731119	18.0
12	20	jaccard	0.4092126405998929	41.63390465988216	15.0
13	50	jaccard	0.42983395822174614	33.65265131226567	13.0
14	100	jaccard	0.4306373861810391	32.27718264595608	13.0
15	5	pmi	0.3189608998393144	85.9721478307445	75.0
16	10	pmi	0.3824317086234601	65.76111408677022	20.0
17	20	pmi	0.41805034815211567	47.915640064274235	14.5
18	50	pmi	0.4459025174076058	35.09775040171398	12.0
19	100	pmi	0.44349223352972683	31.521424745581147	12.0
